Field Name,Description
STATNAME,Data_Reported_from: State name
DISTNAME,Data_Reported_from: District name
BLOCKS,Data_Reported_from: No. of blocks
VILLAGES,Data_Reported_from: No. of villages
CLUSTERS,Data_Reported_from: No. of clusters
TOTPOPULAT,Basic_data_from_Census_2011: Total_Population(in_1000's)
P_URB_POP,Basic_data_from_Census_2011: Percentage_Urban_Population
POPULATION_0_6,Basic_data_from_Census_2011: Percentage_Population_of_Age_Group_0-6
GROWTHRATE,Basic_data_from_Census_2011: Growth_Rate
SEXRATIO,Basic_data_from_Census_2011: Sex_Ratio
OVERALL_LI,Basic_data_from_Census_2011: Literacy_Rate
FEMALE_LIT,Basic_data_from_Census_2011: Female_Literacy_Rate
MALE_LIT,Basic_data_from_Census_2011: Male_Literacy_Rate
TOT_6_10_15,Projected_Population_: Age_Group_6_to_10
TOT_11_13_15,Projected_Population_: Age_Group_11_to_13
SCHTOT,Schools_By_Category: Total
SCHTOTG,Schools_by_Category:_Government: Total
SCHTOTP,Schools_by_Category:_Private_: Total
SCHTOTM,Schools_by_Category:_Madarsas_&_Unrecognised: Total
SCHTOTGR,Government_Schools_by_Category_Rural: Total
SCHTOTGA,Schools_by_Category:_Government_&_Aided_: Total
SCHTOTPR,Private_Schools_by_Category_Rural: Total
SCHBOYTOT,Schools_by_Category:_Boys_Only: Total
SCHGIRTOT,Schools_by_Category:_Girls_Only: Total
ENRTOT,Elementary_Enrolment_by_School_Category: Total
ENRTOTG,Elementary_Enrolment_by_School_Category_(Government): Total
ENRTOTP,Elementary_Enrolment_by_School_Category_(Private): Total
ENRTOTM,Elementary_Enrolment_by_School_Category_(Madarsas_and_UnRecognized): Total
ENRTOTGR,Elementary_Enrolment_by_School_Category_(Government)_Rural: Total
ENRTOTPR,Elementary_Enrolment_by_School_Category_(Private)_Rural: Total
TCHTOTG,Teachers_by_School_Category_(Government): Total
TCHTOTP,Teachers_by_School_Category_(Private): Total
TCHTOTM,Teachers_by_School_Category_(Madarsas_and_UnRcognized): Total
SPLAYTOT,Schools_with_Playground_Facility: Total
